asin,overall,helpful_numerator,helpful_denominator,count
159985130X,4.5,9.35,9.95,5
1933622865,3.6363636363636362,13.909090909090908,15.636363636363637,5
1935009656,4.428571428571429,1.1428571428571428,1.2857142857142858,5
3812028492,4.333333333333333,1.4444444444444444,2.0,5
7884890364,4.575757575757576,1.121212121212121,1.2121212121212122,5
B00000J47L,3.7547169811320753,1.2452830188679245,1.4528301886792452,5
B00000J9DU,4.222222222222222,1.5555555555555556,1.7777777777777777,5
B00000JHQ2,4.4,0.2,0.4,5
B00000JHQ6,4.531645569620253,1.7848101265822784,2.037974683544304,5
B00000JHQC,4.591549295774648,0.14084507042253522,0.4788732394366197,5
B00002N6SN,4.349206349206349,0.23809523809523808,0.5238095238095238,5
B00002N88C,4.5,0.5,0.5,5
B00002N8QW,4.2,1.2,1.8,5
B00002NC1L,3.3333333333333335,1.6666666666666667,2.0,5
B00003IE4E,4.8,0.0,0.0,5
B00003IEME,4.648484848484848,1.6727272727272726,2.478787878787879,5
B00004OCL3,4.735294117647059,1.2941176470588236,1.3823529411764706,5
B00004OCLJ,4.637795275590551,0.594488188976378,0.6968503937007874,5
B00004OCLR,4.48,2.4,2.5,5
B00004OCLS,4.923076923076923,1.7692307692307692,1.9230769230769231,5
B00004OCLT,4.684210526315789,2.5789473684210527,2.736842105263158,5
B00004S1DJ,4.444444444444445,0.4444444444444444,0.7777777777777778,5
B00004SRAX,4.071428571428571,4.428571428571429,8.928571428571429,5
B00004T7UJ,4.8,1.4,1.4,5
B00004YK0Y,4.333333333333333,12.666666666666666,13.0,5
B00004YK10,4.717948717948718,0.7692307692307693,0.8333333333333334,5
B00004YK1A,4.857142857142857,0.8571428571428571,1.0714285714285714,5
B00004YK1B,4.5,0.55,0.9,5
B00004Z4AE,3.8,4.0,5.0,5
B00004Z4EG,4.833333333333333,1.5833333333333333,2.25,5
B00004Z6TW,4.363636363636363,0.8181818181818182,1.0909090909090908,5
B000050AUB,4.714285714285714,6.714285714285714,6.714285714285714,5
B000050AUD,5.0,10.0,11.2,5
B000050B6B,3.8333333333333335,0.3333333333333333,0.5,5
B000050B6D,4.125,7.4375,9.6875,5
B000050B6Z,2.8333333333333335,0.6666666666666666,3.1666666666666665,5
B000050FDE,4.518518518518518,8.814814814814815,9.25925925925926,5
B000050FDQ,4.4,4.8,5.4,5
B000050FDT,3.0,4.0,4.0,5
B000050FDU,4.714285714285714,0.5714285714285714,0.5714285714285714,5
B000050FDX,4.64,1.76,2.0,5
B000050FDY,4.557377049180328,0.5081967213114754,0.6762295081967213,5
B000050FE0,4.6,9.0,11.0,5
B000050FE2,5.0,0.6666666666666666,0.6666666666666666,5
B000050FF0,3.625,26.625,28.25,5
B000050FF4,3.5714285714285716,24.428571428571427,26.714285714285715,5
B000052WN3,4.483870967741935,0.6774193548387096,1.032258064516129,5
B000052WNY,4.375,1.375,3.25,5
B000052WQJ,4.764705882352941,2.176470588235294,2.4705882352941178,5
B000052WWV,4.8076923076923075,1.8846153846153846,2.1153846153846154,5
B000052X6F,4.392857142857143,1.3571428571428572,2.5714285714285716,5
B000052X6G,4.85,4.25,4.6,5
B000052X6U,4.5,4.333333333333333,5.333333333333333,5
B000052X7B,4.363636363636363,2.227272727272727,2.772727272727273,5
B000052X8R,4.301587301587301,1.0476190476190477,1.6507936507936507,5
B000052XB5,4.181818181818182,1.8181818181818181,2.272727272727273,5
B000052XC0,4.4,8.4,10.0,5
B000052XC6,4.857142857142857,1.2857142857142858,1.5714285714285714,5
B000052XFF,3.6923076923076925,2.0,2.3076923076923075,5
B000052XG5,3.75,0.375,0.625,5
B000052XGD,3.3333333333333335,1.1666666666666667,1.1666666666666667,5
B000052XHI,4.472727272727273,1.4727272727272727,3.327272727272727,5
B000052XHJ,3.888888888888889,5.666666666666667,6.888888888888889,5
B000052XIB,4.5,4.833333333333333,7.166666666666667,5
B000052XKL,5.0,0.6666666666666666,1.6666666666666667,5
B000052XMR,4.367924528301887,1.2169811320754718,1.528301886792453,5
B000052XNL,4.0,0.6,0.6,5
B000052XNQ,4.607142857142857,1.5714285714285714,1.7142857142857142,5
B000052XOY,4.793103448275862,1.793103448275862,2.689655172413793,5
B000052XPA,3.2,2.6,5.8,5
B000052XPU,3.6666666666666665,6.366666666666666,9.666666666666666,5
B000052XQR,4.75,1.5,1.75,5
B000052XUG,4.2,0.8,0.8,5
B000052XUV,3.857142857142857,12.0,13.571428571428571,5
B000052XW2,4.0,0.6,0.6,5
B000052Y44,4.6,2.0,2.4,5
B000052Y5U,4.3125,8.4375,9.34375,5
B000052Y62,4.0,0.6666666666666666,1.1666666666666667,5
B000052Y69,3.7777777777777777,0.2222222222222222,0.2222222222222222,5
B000052Y9S,4.333333333333333,0.8333333333333334,0.8333333333333334,5
B000052Y9X,4.8125,1.5625,2.125,5
B000052Y9Y,4.777777777777778,1.2222222222222223,1.2222222222222223,5
B000052YA2,4.0,1.5,1.8333333333333333,5
B000052YBA,3.8,0.6,0.8,5
B000052YBV,3.6666666666666665,3.8333333333333335,4.75,5
B000052YCG,4.25,5.25,5.75,5
B000052YCL,4.8,1.2,3.2,5
B000052YD1,4.142857142857143,2.5714285714285716,3.5714285714285716,5
B000052YD4,4.428571428571429,2.7142857142857144,4.142857142857143,5
B000052YDG,5.0,0.42857142857142855,0.42857142857142855,5
B000052YE4,4.5,0.125,0.125,5
B000052YE5,4.631578947368421,0.10526315789473684,0.15789473684210525,5
B000052YE9,4.625,3.0,3.75,5
B000052YF7,4.714285714285714,5.857142857142857,7.357142857142857,5
B000052YFJ,4.875,4.25,5.875,5
B000052YFO,4.142857142857143,0.2857142857142857,0.6428571428571429,5
B000052YHR,4.45925925925926,0.9555555555555556,1.385185185185185,5
B000052YHS,4.521739130434782,1.3043478260869565,1.6956521739130435,5
B000052YIN,3.3333333333333335,1.5555555555555556,1.8888888888888888,5
B000052YIY,4.083333333333333,0.3333333333333333,0.9166666666666666,5
B000052YMD,4.243243243243243,0.918918918918919,1.3783783783783783,5
B000052YOB,3.640625,1.703125,2.71875,5
B000052YOH,4.444444444444445,1.1111111111111112,1.5555555555555556,5
B000052YTE,4.625,1.875,2.25,5
B000052YTI,4.25,4.125,4.625,5
B000052YUH,4.5,1.1666666666666667,1.25,5
B000053072,4.545454545454546,1.6818181818181819,2.0454545454545454,5
B0000530HU,4.444444444444445,4.333333333333333,4.888888888888889,5
B0000530JF,4.6,0.2,0.2,5
B0000530MS,4.333333333333333,0.16666666666666666,0.16666666666666666,5
B0000530SD,4.285714285714286,0.7142857142857143,1.7142857142857142,5
B0000530VQ,4.361111111111111,2.3333333333333335,2.611111111111111,5
B0000530WH,4.142857142857143,2.142857142857143,3.0,5
B0000530YM,4.6,1.6,3.2,5
B000053136,4.086956521739131,2.4782608695652173,3.3043478260869565,5
B00005313P,4.384615384615385,4.3076923076923075,4.615384615384615,5
B00005313T,4.428571428571429,1.0952380952380953,1.4285714285714286,5
B00005317T,3.8333333333333335,2.7083333333333335,5.208333333333333,5
B000053188,4.117647058823529,1.588235294117647,1.8823529411764706,5
B0000531CQ,4.339285714285714,3.3214285714285716,6.267857142857143,5
B0000531E2,4.642857142857143,2.642857142857143,3.7857142857142856,5
B0000532A2,4.194444444444445,0.2222222222222222,0.3611111111111111,5
B0000532E0,4.428571428571429,0.2857142857142857,0.2857142857142857,5
B0000532FC,4.125,1.125,1.375,5
B0000532GH,4.615384615384615,4.461538461538462,5.538461538461538,5
B0000532GM,4.625,0.0,0.125,5
B0000532GY,4.923076923076923,1.3846153846153846,1.5384615384615385,5
B0000532OE,4.159090909090909,1.75,2.0681818181818183,5
B0000532OS,3.7142857142857144,0.2857142857142857,0.42857142857142855,5
B0000532PO,3.9473684210526314,0.5789473684210527,1.0526315789473684,5
B0000532PW,4.363636363636363,5.181818181818182,5.818181818181818,5
B0000532QB,4.0,5.130434782608695,7.130434782608695,5
B0000532RD,4.0,1.3333333333333333,1.8888888888888888,5
B0000532SD,4.666666666666667,4.833333333333333,5.666666666666667,5
B0000532TP,4.190476190476191,1.0,1.2857142857142858,5
B0000532VC,4.513513513513513,1.2162162162162162,1.3783783783783783,5
B0000532YB,3.8666666666666667,1.4,2.066666666666667,5
B000053325,4.8,2.2,2.8,5
B00005335B,3.6,1.0,1.2,5
B00005339L,4.777777777777778,0.4444444444444444,0.4444444444444444,5
B0000533AY,3.590909090909091,1.2272727272727273,1.6363636363636365,5
B0000533DY,3.9,7.666666666666667,7.9,5
B0000533E1,4.130434782608695,5.043478260869565,6.173913043478261,5
B0000533I2,4.142857142857143,4.476190476190476,5.857142857142857,5
B0000533Z8,4.555555555555555,1.2222222222222223,3.111111111111111,5
B0000534HA,4.583333333333333,4.458333333333333,5.208333333333333,5
B0000534X3,4.384615384615385,2.076923076923077,2.5384615384615383,5
B000053519,4.416666666666667,5.083333333333333,5.166666666666667,5
B00005351F,4.2,2.6,3.4,5
B00005351I,4.0,0.5714285714285714,0.5714285714285714,5
B0000535CI,3.4166666666666665,0.6666666666666666,1.25,5
B0000535TD,4.444444444444445,0.6111111111111112,1.0555555555555556,5
B0000536V6,5.0,0.8571428571428571,0.8571428571428571,5
B0000536V8,4.888888888888889,2.3333333333333335,2.6666666666666665,5
B0000536Y7,4.641666666666667,1.075,1.95,5
B0000537A5,4.0,1.5714285714285714,1.7142857142857142,5
B0000537JG,4.222222222222222,0.0,0.1111111111111111,5
B0000537JP,4.428571428571429,1.4285714285714286,1.6857142857142857,5
B0000537JQ,4.428571428571429,1.2857142857142858,1.5714285714285714,5
B0000537NI,4.470588235294118,3.6470588235294117,4.529411764705882,5
B0000537YG,3.7777777777777777,3.3333333333333335,4.0,5
B00005380N,4.36,1.12,1.44,5
B000053L2J,3.607594936708861,0.4810126582278481,0.7215189873417721,5
B000053L5G,4.142857142857143,1.8571428571428572,1.8571428571428572,5
B000053L6Y,4.6521739130434785,1.3478260869565217,1.5527950310559007,5
B000053UOC,3.8181818181818183,0.4090909090909091,0.5,5
B000056J8D,4.8,0.0,0.0,5
B000056OWW,4.230769230769231,3.576923076923077,5.038461538461538,5
B000056VHC,4.545454545454546,0.3181818181818182,0.6363636363636364,5
B000059S7H,4.666666666666667,0.6666666666666666,0.8333333333333334,5
B000059Z77,4.055555555555555,0.6666666666666666,0.9444444444444444,5
B00005AUID,4.416666666666667,0.25,0.25,5
B00005AUIE,4.175,0.325,0.475,5
B00005B12N,2.4,0.8,1.4,5
B00005B6ZL,4.4,0.2,0.2,5
B00005BAWO,4.071428571428571,0.5714285714285714,1.2142857142857142,5
B00005BJ92,4.133333333333334,0.26666666666666666,0.4,5
B00005BMI9,4.222222222222222,2.111111111111111,2.2222222222222223,5
B00005IBVP,4.714285714285714,0.2857142857142857,0.42857142857142855,5
B00005IBW1,3.857142857142857,0.8571428571428571,1.4285714285714286,5
B00005JHVY,4.6,7.6,8.4,5
B00005JS5C,4.405797101449275,5.057971014492754,6.130434782608695,5
B00005JS5G,4.166666666666667,2.3333333333333335,3.5,5
B00005JTW4,4.691358024691358,1.6419753086419753,2.1728395061728394,5
B00005KGUB,3.5555555555555554,1.2222222222222223,2.2777777777777777,5
B00005LOGY,4.0,0.2,0.6,5
B00005M1WE,4.46,1.98,2.67,5
B00005MOU9,3.1666666666666665,1.8888888888888888,2.2777777777777777,5
B00005NAUM,3.533333333333333,1.2,1.7333333333333334,5
B00005NAUV,4.5,0.5,0.8333333333333334,5
B00005NAV4,4.666666666666667,2.0,2.3333333333333335,5
B00005NAXK,4.2727272727272725,6.787878787878788,7.575757575757576,5
B00005NFBC,4.333333333333333,0.16666666666666666,0.5,5
B00005Q50D,4.6,0.2,0.4,5
B00005R19P,3.7,10.85,12.4,5
B00005RL5E,2.6,0.8,1.0,5
B00005RWFE,4.0588235294117645,4.147058823529412,4.852941176470588,5
B00005T3DV,4.571428571428571,1.2857142857142858,2.4285714285714284,5
B00005T3E3,5.0,0.6666666666666666,0.7777777777777778,5
B00005T3EH,4.8,1.3333333333333333,1.3333333333333333,5
B00005TP4H,4.6,4.6,6.05,5
B00005U8WP,4.8,6.2,7.2,5
B00005U8WT,3.4444444444444446,0.7777777777777778,2.111111111111111,5
B00005UCPX,3.8333333333333335,0.16666666666666666,0.16666666666666666,5
B00005UCPZ,4.090909090909091,4.5,5.454545454545454,5
B00005UKIB,4.2,0.2,0.4,5
B00005UMZS,3.95,11.15,11.75,5
B00005UVD9,5.0,3.2,4.4,5
B00005V3D9,4.407407407407407,3.3333333333333335,3.5555555555555554,5
B00005V50B,3.75,1.3333333333333333,2.0,5
B00005V9CA,3.4,9.2,10.6,5
B000060NUH,4.4,0.2,0.2,5
B000062WUX,4.5,0.75,1.3333333333333333,5
B000062WUY,4.285714285714286,1.4285714285714286,1.5714285714285714,5
B0000635YY,2.6,2.4,3.2,5
B000063SLQ,4.666666666666667,13.0,13.5,5
B000063SLR,3.888888888888889,9.5,10.5,5
B000063TL4,3.9166666666666665,4.166666666666667,5.083333333333333,5
B000063XHQ,3.8055555555555554,5.222222222222222,6.027777777777778,5
B000063XHR,3.466666666666667,1.3333333333333333,1.8666666666666667,5
B000063XTO,3.8461538461538463,6.923076923076923,8.76923076923077,5
B0000645VY,4.238095238095238,2.5238095238095237,2.8095238095238093,5
B00006592X,3.75,1.95,2.55,5
B000065AB0,4.2,2.0,2.8666666666666667,5
B000065AB1,4.5,1.6666666666666667,1.8333333333333333,5
B000065CIL,4.4,0.6,0.6,5
B000065X1N,4.8,1.0,1.8,5
B000066CKV,4.857142857142857,1.1428571428571428,1.5714285714285714,5
B000066OC7,3.0952380952380953,0.7142857142857143,0.9047619047619048,5
B000066PGS,3.8181818181818183,5.545454545454546,6.636363636363637,5
B000067E30,3.9166666666666665,14.333333333333334,16.583333333333332,5
B000067ETT,3.75,3.0,3.625,5
B000067NMJ,4.066666666666666,4.0,4.6,5
B000068PBJ,4.2,9.6,11.266666666666667,5
B000068PBL,4.333333333333333,15.833333333333334,16.833333333333332,5
B000068PBT,4.416666666666667,1.6916666666666667,1.825,5
B0000691JH,3.9107142857142856,1.8392857142857142,2.125,5
B000069EYA,4.666666666666667,11.222222222222221,11.222222222222221,5
B000069J4X,5.0,2.2,2.4,5
B00006AFDC,3.8181818181818183,1.4545454545454546,1.5454545454545454,5
B00006AMSM,4.0,24.333333333333332,24.666666666666668,5
B00006ANDJ,3.4444444444444446,3.3333333333333335,4.222222222222222,5
B00006ANDK,4.728813559322034,3.4745762711864407,3.9237288135593222,5
B00006ANDQ,4.588235294117647,3.5294117647058822,3.7394957983193278,5
B00006BN44,4.657894736842105,1.9736842105263157,2.5,5
B00006BSXM,3.3333333333333335,8.166666666666666,9.5,5
B00006D2R8,4.111111111111111,2.2222222222222223,2.888888888888889,5
B00006D2RB,3.3333333333333335,1.6666666666666667,2.3333333333333335,5
B00006FE3S,4.208955223880597,2.388059701492537,3.2686567164179103,5
B00006G9LZ,4.583333333333333,4.25,6.166666666666667,5
B00006IA8O,4.1,7.5,13.3,5
B00006IA8Q,4.0,0.4,0.6,5
B00006IA93,4.2,4.4,5.2,5
B00006IA94,4.818181818181818,1.2727272727272727,1.4545454545454546,5
B00006IBMC,4.2105263157894735,1.0,1.105263157894737,5
B00006IBNJ,4.469387755102041,1.6938775510204083,2.061224489795918,5
B00006IBO5,4.833333333333333,1.6666666666666667,1.8333333333333333,5
B00006IDL6,4.739130434782608,0.2608695652173913,0.5217391304347826,5
B00006IDL9,4.535714285714286,0.7857142857142857,0.8928571428571429,5
B00006IEDC,4.571428571428571,1.4285714285714286,1.7142857142857142,5
B00006IV1N,4.617647058823529,1.2352941176470589,1.2941176470588236,5
