asin,count
159985130X,20
1933622865,11
1935009656,7
3812028492,9
7884890364,33
B00000J47L,53
B00000J9DU,9
B00000JHQ2,5
B00000JHQ6,79
B00000JHQC,71
B00002N6SN,63
B00002N88C,6
B00002N8QW,5
B00002NC1L,6
B00003IE4E,5
B00003IEME,165
B00004OCL3,34
B00004OCLJ,254
B00004OCLR,50
B00004OCLS,13
B00004OCLT,19
B00004S1DJ,18
B00004SRAX,14
B00004T7UJ,5
B00004YK0Y,6
B00004YK10,78
B00004YK1A,14
B00004YK1B,20
B00004Z4AE,5
B00004Z4EG,12
B00004Z6TW,11
B000050AUB,7
B000050AUD,5
B000050B6B,6
B000050B6D,16
B000050B6Z,6
B000050FDE,27
B000050FDQ,10
B000050FDT,5
B000050FDU,7
B000050FDX,25
B000050FDY,244
B000050FE0,5
B000050FE2,6
B000050FF0,8
B000050FF4,7
B000052WN3,31
B000052WNY,8
B000052WQJ,17
B000052WWV,26
B000052X6F,28
B000052X6G,20
B000052X6U,6
B000052X7B,22
B000052X8R,63
B000052XB5,44
B000052XC0,5
B000052XC6,7
B000052XFF,13
B000052XG5,8
B000052XGD,6
B000052XHI,55
B000052XHJ,9
B000052XIB,6
B000052XKL,6
B000052XMR,106
B000052XNL,5
B000052XNQ,28
B000052XOY,29
B000052XPA,5
B000052XPU,30
B000052XQR,8
B000052XUG,5
B000052XUV,7
B000052XW2,5
B000052Y44,5
B000052Y5U,32
B000052Y62,6
B000052Y69,36
B000052Y9S,12
B000052Y9X,16
B000052Y9Y,9
B000052YA2,6
B000052YBA,5
B000052YBV,12
B000052YCG,8
B000052YCL,5
B000052YD1,7
B000052YD4,7
B000052YDG,7
B000052YE4,8
B000052YE5,19
B000052YE9,8
B000052YF7,14
B000052YFJ,8
B000052YFO,14
B000052YHR,135
B000052YHS,23
B000052YIN,9
B000052YIY,12
B000052YMD,37
B000052YOB,64
B000052YOH,9
B000052YTE,8
B000052YTI,8
B000052YUH,12
B000053072,22
B0000530HU,9
B0000530JF,5
B0000530MS,6
B0000530SD,7
B0000530VQ,36
B0000530WH,7
B0000530YM,5
B000053136,23
B00005313P,13
B00005313T,21
B00005317T,24
B000053188,17
B0000531CQ,56
B0000531E2,14
B0000532A2,36
B0000532E0,7
B0000532FC,8
B0000532GH,13
B0000532GM,8
B0000532GY,13
B0000532OE,88
B0000532OS,7
B0000532PO,19
B0000532PW,11
B0000532QB,23
B0000532RD,9
B0000532SD,6
B0000532TP,21
B0000532VC,37
B0000532YB,15
B000053325,5
B00005335B,5
B00005339L,9
B0000533AY,22
B0000533DY,30
B0000533E1,23
B0000533I2,21
B0000533Z8,9
B0000534HA,24
B0000534X3,13
B000053519,12
B00005351F,5
B00005351I,7
B0000535CI,12
B0000535TD,18
B0000536V6,7
B0000536V8,9
B0000536Y7,120
B0000537A5,7
B0000537JG,9
B0000537JP,35
B0000537JQ,14
B0000537NI,17
B0000537YG,9
B00005380N,25
B000053L2J,79
B000053L5G,7
B000053L6Y,161
B000053UOC,22
B000056J8D,5
B000056OWW,52
B000056VHC,22
B000059S7H,6
B000059Z77,18
B00005AUID,12
B00005AUIE,40
B00005B12N,5
B00005B6ZL,5
B00005BAWO,14
B00005BJ92,15
B00005BMI9,9
B00005IBVP,7
B00005IBW1,7
B00005JHVY,5
B00005JS5C,69
B00005JS5G,6
B00005JTW4,81
B00005KGUB,18
B00005LOGY,5
B00005M1WE,100
B00005MOU9,18
B00005NAUM,15
B00005NAUV,6
B00005NAV4,6
B00005NAXK,33
B00005NFBC,6
B00005Q50D,5
B00005R19P,20
B00005RL5E,5
B00005RWFE,34
B00005T3DV,7
B00005T3E3,9
B00005T3EH,15
B00005TP4H,20
B00005U8WP,5
B00005U8WT,9
B00005UCPX,6
B00005UCPZ,22
B00005UKIB,5
B00005UMZS,20
B00005UVD9,5
B00005V3D9,27
B00005V50B,12
B00005V9CA,5
B000060NUH,5
B000062WUX,12
B000062WUY,7
B0000635YY,5
B000063SLQ,6
B000063SLR,18
B000063TL4,12
B000063XHQ,36
B000063XHR,15
B000063XTO,13
B0000645VY,21
B00006592X,20
B000065AB0,15
B000065AB1,6
B000065CIL,5
B000065X1N,5
B000066CKV,7
B000066OC7,21
B000066PGS,11
B000067E30,12
B000067ETT,8
B000067NMJ,30
B000068PBJ,15
B000068PBL,6
B000068PBT,120
B0000691JH,56
B000069EYA,9
B000069J4X,5
B00006AFDC,11
B00006AMSM,6
B00006ANDJ,9
B00006ANDK,118
B00006ANDQ,119
B00006BN44,38
B00006BSXM,12
B00006D2R8,9
B00006D2RB,6
B00006FE3S,67
B00006G9LZ,12
B00006IA8O,10
B00006IA8Q,5
B00006IA93,5
B00006IA94,11
B00006IBMC,19
B00006IBNJ,49
B00006IBO5,6
B00006IDL6,23
B00006IDL9,28
B00006IEDC,7
B00006IV1N,34
B00006IV1V,8
B00006IV2U,11
B00006IV44,7
B00006IV46,16
B00006IV4N,59
B00006IVEN,38
B00006J3G8,11
B00006JLZW,5
B00006JLZX,5
B00006JPGY,7
B00006JPHI,5
B00006K116,17
B00006K157,6
B00006L9CA,14
B00006L9LP,11
B00006MMU6,23
B00006MMU7,6
B00006NT3A,49
B00006SKLU,8
B00006WNPW,18
B00006WNPX,31
B00006WNQS,8
B000070IWK,10
B0000798CT,7
B00007E31S,12
B00007FRYJ,18
B00007GD5L,37
B00007ITA2,6
B00007J6CZ,6
B00007KH0X,32
B00007KUX6,5
B00007KUX7,26
B00007L64I,20
B00007LA0L,5
B00007LB77,11
B00007M9SU,38
B00007MII0,6
B00007MII1,14
B000083CUD,7
B000083GK2,6
B000083JX0,59
B000087BHJ,10
B000087HF7,11
B000087HF8,82
B000087HFA,5
B00008BFXG,36
B00008BFXJ,20
B00008BFXK,16
B00008BFXL,205
B00008BQVL,10
B00008BQVM,11
B00008BRR6,27
B00008BRR8,8
B00008CMPY,15
B00008CMQ2,5
B00008DQJQ,14
B00008I8NJ,9
B00008IJYS,6
B00008IM9W,13
B00008J1ZZ,11
B00008K4UA,10
B00008KA7R,11
B00008L3FX,7
B00008LUPY,25
B00008LUTV,16
B00008MNZN,56
B00008MO0B,30
B00008MOQA,89
B00008NFL0,7
B00008O2XM,5
B00008PW1R,12
B00008QQN2,11
B00008US33,5
B00008US4M,8
B00008US4Q,12
B00008WFLP,6
