asin,overall
B002DWA2H4,4.888888888888889
B002DWA3AA,4.4375
B002DXZIOU,4.214285714285714
B002DYIZIU,4.0227272727272725
B002DYIZO4,5.0
B002DYIZP8,4.142857142857143
B002DYIZQM,4.714285714285714
B002DYIZXU,4.428571428571429
B002DYJ05M,4.333333333333333
B002DYJ0AW,4.333333333333333
B002DYJ0IY,4.708333333333333
B002DYJ0K2,4.36734693877551
B002DYJ0LG,4.6
B002DYJ0N4,4.266666666666667
B002DYJ0P2,4.333333333333333
B002DYJ0ZC,3.923076923076923
B002DYJ1C4,4.49645390070922
B002DYJ1D8,4.833333333333333
B002DYZG9G,4.157894736842105
B002DZML3O,4.0
B002E02688,5.0
B002E0DSBW,4.607142857142857
B002E0S2RC,4.666666666666667
B002E3BJQA,4.6
B002E4Z87U,4.285714285714286
B002E5338U,4.181818181818182
B002E62HXQ,4.588235294117647
B002E7AIK4,4.833333333333333
B002E7HG04,5.0
B002E7N1CG,4.264150943396227
B002E9HZXU,3.727272727272727
B002EA99HE,4.703703703703703
B002EB547C,4.258064516129032
B002EBX3V6,4.44
B002ECW9B0,4.6
B002ECY8KK,5.0
B002ECZWPK,4.111111111111111
B002ED409I,3.6
B002EDINF0,4.28
B002EECFIK,4.833333333333333
B002EIO6DI,4.4
B002EIRO32,4.666666666666667
B002EJ3OGM,3.8823529411764706
B002EJEM8G,4.553571428571429
B002EP9OUG,4.237288135593221
B002EQ8MJO,3.6
B002EQA3ZK,4.0
B002EQA418,4.0
B002ESYH5K,4.5
B002ET10S6,4.666666666666667
B002ET7AZ8,4.3076923076923075
B002EVPTY0,3.75
B002EVPW0Q,3.1666666666666665
B002EVPWXI,4.228571428571429
B002EVPWYM,4.235294117647059
B002EZPVOO,4.0
B002F52MHW,3.3333333333333335
B002F86LNK,4.634615384615385
B002FC6JZG,4.178571428571429
B002FC7B2G,4.885714285714286
B002FCFEZ2,4.4
B002FCH5HC,2.888888888888889
B002FCN7V0,4.428571428571429
B002FCN7Y2,4.384615384615385
B002FD0HU8,4.571428571428571
B002FH5I0I,4.666666666666667
B002FH90Q6,4.4
B002FJW16U,4.0
B002FJW1II,4.333333333333333
B002FJW3ZY,4.202898550724638
B002FJY3H0,4.363636363636363
B002FJY5G4,4.25
B002FK08F0,5.0
B002FK1M1Y,4.5
B002FK3B4U,4.344827586206897
B002FKLGW4,3.857142857142857
